p0-2|16|1.01773|0|0|
p0-2|16|1.09014|0|1|4,6,9,11,12,14,15
p0-2|16|1.09014|0|1|4,6,9,11,12,13,15
p0-2|16|1.05358|0|2|3,10,11,14
p0-2|16|1.05358|0|2|3,10,11,13
p0-2|16|1.05783|0|3|1,6,8,9,11,13,14
p0-2|16|1.07959|0|4|1,3,5,7,8,9,11,14
p0-2|16|1.07959|0|4|1,3,5,7,8,9,11,13
p0-2|16|1.07466|0|5|4,7,8,10,11,15
p0-2|16|1.07640|0|6|3,4,8,9,10,11,14
p0-2|16|1.07640|0|6|3,4,8,9,10,11,13
p0-2|16|1.07281|0|7|4,6,7,8,9,10,11,14
p0-2|16|1.07281|0|7|4,6,7,8,9,10,11,13
p0-2|16|1.06531|0|8|4,7,8,11,12,15,16
p0-2|16|1.07529|0|9|3,5,6,8,9,10,11,13,14,15
p0-2|16|1.06722|0|10|7,8,10,11,14,16
p0-2|16|1.06722|0|10|7,8,10,11,13,16
p0-2|16|1.06097|0|11|5,6,8,9,10,11,14
p0-2|16|1.06097|0|11|5,6,8,9,10,11,13
p0-2|16|1.09945|0|12|3,5,6,8,9,11,12,13,14,15
p0-2|16|1.06578|0|13|4,7,9,10,11,15
p0-2|16|1.06597|0|14|4,10,11,14
p0-2|16|1.06597|0|14|4,10,11,13
p0-2|16|1.05928|0|15|1,3,5,7,10,11,15
p0-2|16|1.05857|0|16|4,7,9,11,12,15
p0-2|16|1.07346|0|17|4,7,9,10,14,15
p0-2|16|1.07346|0|17|4,7,9,10,13,15
p0-2|16|1.07745|0|18|1,3,5,6,8,9,11,13,14
p0-2|16|1.07745|0|18|1,3,5,6,8,9,10,11,14
p0-2|16|1.07745|0|18|1,3,5,6,8,9,10,11,13
p0-2|16|1.06002|0|19|5,6,10,11,14
p0-2|16|1.06002|0|19|5,6,10,11,13
p0-2|16|1.07198|0|20|4,7,9,10,12
p0-2|16|1.04926|0|21|1,3,5,6,8,9,10,11,14
p0-2|16|1.04926|0|21|1,3,5,6,8,9,10,11,13
p0-2|16|1.06408|0|22|7,9,10,12,16
p0-2|16|1.06773|0|23|1,3,4,7,8,11,12,16
p0-2|16|1.04361|0|24|3,6,7,8,9,10,14
p0-2|16|1.04361|0|24|3,6,7,8,9,10,13
p0-2|16|1.07063|0|25|1,3,4,5,6,7,8,9,10,12,14,15
p0-2|16|1.07063|0|25|1,3,4,5,6,7,8,9,10,12,13,15
p0-2|16|1.05737|0|26|4,7,8,10,11,15
p0-2|16|1.07946|0|27|4,6,9,10,11,14
p0-2|16|1.07946|0|27|4,6,9,10,11,13
p0-2|16|1.05829|0|28|1,3,5,6,9,10,11,14
p0-2|16|1.05829|0|28|1,3,5,6,9,10,11,13
p3-7|16|0.98241|0|0|
p3-7|16|1.10000|0|1|2,3,4,6,7,10,12,15,16
p3-7|16|1.14535|0|2|2,5,6,7,8,10,13,16
p3-7|16|1.12570|0|3|1,2,3,6,7,8,10,13
p3-7|16|1.15743|0|4|1,2,3,4,7,8,10,14,15,16
p3-7|16|1.13623|0|5|1,2,3,6,7,8,10,14,15,16
p3-7|16|1.12887|0|6|1,2,5,6,7,8,10,13
p3-7|16|1.11474|0|7|2,4,5,6,7,8,9,10,11,13,16
p3-7|16|1.12980|0|8|1,2,5,14,16
p3-7|16|1.12616|0|9|2,3,4,7,8,9,10,12,15
p3-7|16|1.10415|0|10|2,6,7,8,9,10,11,13
p3-7|16|1.11073|0|11|1,2,5,7,8,10,16
p3-7|16|1.11011|0|12|6,7,8,10,14,15,16
p3-7|16|1.11011|0|12|6,7,8,9,10,11,13
p3-7|16|1.10696|0|13|1,2,6,7,8,13,15
p3-7|16|1.11376|0|14|1,2,3,6,7,8,10,12,13,14,15,16
p3-7|16|1.11534|0|15|1,2,5,8,12,13
p3-7|16|1.13013|0|16|1,3,4,6,7,8,10,16
